,Model,Year,Miles,Location,Prices,Link,Scraped_On,Dealership
678, Toyota camry XLE Sedan 4D,2005.0,229000.0,"Crawfordsville, IN","$4,000",https://www.facebook.com//marketplace/item/7811644118942657/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
680, Toyota corolla L Sedan 4D,2013.0,108000.0,"Lafayette, IN","$10,500",https://www.facebook.com//marketplace/item/385426067403718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
683, Honda civic Sport Sedan 4D,2021.0,67000.0,"Lafayette, IN","$19,500",https://www.facebook.com//marketplace/item/468608075857905/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
694, Toyota camry le 6-spd at,2010.0,211000.0,"Lafayette, IN","$1,999",https://www.facebook.com//marketplace/item/753631636978918/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
695, Honda civic,2007.0,177000.0,"Lafayette, IN","$4,800",https://www.facebook.com//marketplace/item/440014335554505/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
701, Toyota sienna LE Minivan 4D,2006.0,275000.0,"West Lafayette, IN","$4,000",https://www.facebook.com//marketplace/item/889959705689607/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
710, Honda odyssey EX-L Minivan 4D,2004.0,162000.0,"Lafayette, IN","$3,200",https://www.facebook.com//marketplace/item/1500288417574722/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
716, Honda accord sport loaded,2016.0,106000.0,"Lafayette, IN","$17,900",https://www.facebook.com//marketplace/item/1120679625326622/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
717, Honda pilot,2018.0,,"Lafayette, IN","$22,900",https://www.facebook.com//marketplace/item/447110141307089/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
741, Honda pilot,2020.0,,"Lafayette, IN","$25,900",https://www.facebook.com//marketplace/item/1183315439498877/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
750, Honda del sol Si Coupe 2D,1993.0,117000.0,"Indianapolis, IN","$4,500",https://www.facebook.com//marketplace/item/981935756210843/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
752, Toyota camry SE Sedan 4D,2020.0,61000.0,"West Lafayette, IN","$22,999",https://www.facebook.com//marketplace/item/1014763990324569/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
754, Honda accord EX-L Sedan 4D,2016.0,95000.0,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/752241680423388/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
755, Honda accord EX-L Sedan 4D,2008.0,190000.0,"Lafayette, IN","$5,700",https://www.facebook.com//marketplace/item/679694147573246/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
756, Honda civic LX-P,2018.0,42000.0,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/773606934962953/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
758, Honda civic LX Sedan 4D,2008.0,175000.0,"West Lafayette, IN","$6,500",https://www.facebook.com//marketplace/item/468330815757601/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
759, Toyota yaris Sedan 4D,2010.0,135000.0,"Noblesville, IN","$5,995",https://www.facebook.com//marketplace/item/7879149425507863/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
760, Honda civic EX-T Sedan 4D,2016.0,65000.0,"Lafayette, IN","$17,900",https://www.facebook.com//marketplace/item/898655331104341/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
763, Honda accord Sport Sedan 4D,2017.0,72000.0,"Lafayette, IN","$16,500",https://www.facebook.com//marketplace/item/2803067013169413/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
767, Toyota avalon,2008.0,52000.0,"Lafayette, IN","$10,900",https://www.facebook.com//marketplace/item/1147453032996134/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
770, Honda civic EX Hatchback 4D,2020.0,62000.0,"Lafayette, IN","$23,995",https://www.facebook.com//marketplace/item/210057615083797/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
791, Toyota prius I Hatchback 4D,2010.0,25000.0,"Crawfordsville, IN","$1,234",https://www.facebook.com//marketplace/item/341889895467391/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
794, Honda accord,2015.0,238000.0,"West Lafayette, IN","$7,900",https://www.facebook.com//marketplace/item/1154810385812191/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
795, Honda accord VP Sedan 4D,2006.0,300000.0,"Remington, IN",Free,https://www.facebook.com//marketplace/item/405896681910789/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
796, Honda grom,2015.0,7900.0,"Lafayette, IN","$3,000",https://www.facebook.com//marketplace/item/8461891117172442/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
797, Honda crosstour,2013.0,96000.0,"Lafayette, IN","$12,800",https://www.facebook.com//marketplace/item/1657036571743577/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
800, Mazda rx-7 GTU,1990.0,1200.0,"Delphi, IN","$5,000",https://www.facebook.com//marketplace/item/967840814909250/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
826, Honda civic LX Sedan 4D,1998.0,198000.0,"Frankfort, IN","$2,500",https://www.facebook.com//marketplace/item/444951588466589/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
828, Honda civic Sport Sedan 4D,2021.0,68000.0,"Lafayette, IN","$19,500",https://www.facebook.com//marketplace/item/287432897784331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
829, Toyota camry XLE Sedan 4D,2007.0,189000.0,"Avon, IN","$4,200",https://www.facebook.com//marketplace/item/7752316338177786/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
831, Honda civic full loaded SPORT,2020.0,71000.0,"Lafayette, IN","$17,500",https://www.facebook.com//marketplace/item/435750842453859/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
833, Honda accord LX Sedan 4D,2011.0,125000.0,"Lafayette, IN","$12,900",https://www.facebook.com//marketplace/item/1148384616280835/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
838, Honda accord LX Sedan 4D,2016.0,120000.0,"Lafayette, IN","$14,399",https://www.facebook.com//marketplace/item/678971357743866/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
839, Toyota highlander Limited Sport Utility 4D,2008.0,144000.0,"West Lafayette, IN","$10,999",https://www.facebook.com//marketplace/item/451229204529615/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
842, Honda pilot EX-L w/Honda Sensing Sport Utility 4D,2018.0,66000.0,"Lafayette, IN","$22,900",https://www.facebook.com//marketplace/item/1185896615747555/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
843, Honda accord ex-l,2013.0,86000.0,"Lafayette, IN","$14,900",https://www.facebook.com//marketplace/item/836767444655005/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
848, Honda accord,2013.0,105000.0,"Lafayette, IN","$12,875",https://www.facebook.com//marketplace/item/1151784399395327/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
864, Honda odyssey,2001.0,171000.0,"Frankfort, IN","$1,900",https://www.facebook.com//marketplace/item/815554953975856/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
866, Toyota venza Wagon 4D,2009.0,157000.0,"Chicago Heights, IL","$6,300",https://www.facebook.com//marketplace/item/7668394149850267/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
871, Honda ct,1983.0,1700.0,"West Lafayette, IN","$3,400",https://www.facebook.com//marketplace/item/1122206195550339/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
873, Honda accord DX Sedan 4D,1997.0,250000.0,"Lafayette, IN",$900,https://www.facebook.com//marketplace/item/1486315241968780/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
877, Toyota celica GT-S Hatchback Coupe 2D,2005.0,106000.0,"Lafayette, IN","$12,000",https://www.facebook.com//marketplace/item/7293827767400700/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
884, Toyota 4runner awd full loaded LIMITED,2015.0,91000.0,"Lafayette, IN","$25,900",https://www.facebook.com//marketplace/item/709438351067398/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
887, Honda civic CX Hatchback 2D,1996.0,1200.0,"Lafayette, IN","$5,500",https://www.facebook.com//marketplace/item/1913648992427864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
890, Toyota sienna awd full loaded XLE,2014.0,156000.0,"Lafayette, IN","$16,500",https://www.facebook.com//marketplace/item/862414225642224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
904, Toyota camry l fwd,2019.0,93000.0,"Frankfort, IN","$17,640",https://www.facebook.com//marketplace/item/462136699859795/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
907, Honda civic,2017.0,,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/1275086243466371/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
908, Honda civic,2015.0,150000.0,"Frankfort, IN","$8,000",https://www.facebook.com//marketplace/item/329933116771353/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
909, Toyota corolla LE Sedan 4D,2012.0,69000.0,"Lafayette, IN","$12,975",https://www.facebook.com//marketplace/item/481965687642670/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
911, Honda accord LX Sedan 4D,2014.0,110000.0,"Frankfort, IN","$12,500",https://www.facebook.com//marketplace/item/6890798521015704/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
912, Toyota sienna,2007.0,125000.0,"Lafayette, IN","$6,900",https://www.facebook.com//marketplace/item/1174758577169600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
913, Honda accord,2013.0,105000.0,"Lafayette, IN","$12,475",https://www.facebook.com//marketplace/item/3655849277991080/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
917, Honda accord LX Sedan 4D,2015.0,141000.0,"West Lafayette, IN","$10,900",https://www.facebook.com//marketplace/item/1141518103568109/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
923, Honda accord LX Coupe 2D,2002.0,178000.0,"Lucerne, IN","$2,200",https://www.facebook.com//marketplace/item/664500915748153/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
924, Honda odyssey EX-L Minivan 4D,2016.0,96000.0,"West Lafayette, IN","$19,999",https://www.facebook.com//marketplace/item/742781864498105/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
940, Toyota fj cruiser Sport Utility 2D,2007.0,172000.0,"Lafayette, IN","$18,799",https://www.facebook.com//marketplace/item/1100801454357676/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
965, Toyota 4runner awd full loaded LIMITED,2015.0,91000.0,"Lafayette, IN","$25,900",https://www.facebook.com//marketplace/item/420590953751429/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
968, Honda accord EX-L Coupe 2D,1987.0,132000.0,"Lafayette, IN","$1,000",https://www.facebook.com//marketplace/item/858490182122480/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
970, Honda ridgeline awd loaded RTL-E,2017.0,97000.0,"Lafayette, IN","$25,900",https://www.facebook.com//marketplace/item/1565447084209041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
978, Honda civic LX Sedan 4D,2019.0,69000.0,"Lafayette, IN","$20,900",https://www.facebook.com//marketplace/item/1194065854917366/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
980, Mazda mazda3 i Sedan 4D,2004.0,169000.0,"Frankfort, IN","$1,800",https://www.facebook.com//marketplace/item/1006240547751643/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
982, Honda accord full loaded SPORT,2019.0,142000.0,"Lafayette, IN","$19,500",https://www.facebook.com//marketplace/item/1697828237417555/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
985, Toyota camry se loaded,2021.0,64000.0,"Lafayette, IN","$23,900",https://www.facebook.com//marketplace/item/1285582645412041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
987, Honda accord ex-l,2013.0,86000.0,"Lafayette, IN","$14,900",https://www.facebook.com//marketplace/item/432542389657204/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
995, Toyota matrix XR Sport Wagon 4D,2004.0,100000.0,"Tinley Park, IL","$2,800",https://www.facebook.com//marketplace/item/406369271790516/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
997, Mazda b-series cab plus B4000 4WD SE 4D,1998.0,212000.0,"Rossville, IN","$3,500",https://www.facebook.com//marketplace/item/1673653703474647/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
